graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_top10_popularity_100_190_7_0.999999999_1736542307506339_0;190;1277;1;0.47517693057640237;0.2657769574785263;0.2691;0.675;0.44080263056819335;0.3316364680158471;0.05900006695892561
rand_random_top10_popularity_100_190_7_0.999999999_17365423075210474_1;190;1278;1;0.4771655543817453;0.2737426089495584;0.2759;0.6517241379310345;0.4302270087386818;0.32125987731729994;0.05893802319022242
rand_random_top10_popularity_100_190_7_0.999999999_17365423075356023_2;190;1279;1;0.43736099366658016;0.26477631228857046;0.2689;0.6539792387543253;0.4320356099888496;0.32790108654590494;0.05898761111335869
rand_random_top10_popularity_100_190_7_0.999999999_17365423075505943_3;190;1279;1;0.4514330647884233;0.27673535167491653;0.2836;0.63;0.4256814280939878;0.30316162240311195;0.05870097157405669
rand_random_top10_popularity_100_190_7_0.999999999_17365423075650537_4;190;1279;1;0.47687160731842204;0.28722695298037765;0.2876;0.63;0.424500131344562;0.29650457427770016;0.058277110352870934
rand_random_top10_popularity_100_190_7_0.999999999_17365423075786898_5;190;1276;1;0.468201024181939;0.281528953994049;0.2843;0.63;0.42503882278061905;0.3050855072064889;0.05924520087447721
rand_random_top10_popularity_100_190_7_0.999999999_1736542307592471_6;190;1280;1;0.4817035761849359;0.30070643642072215;0.2988;0.6136363636363636;0.4154615800169898;0.2941799145259214;0.059008098225689615
rand_random_top10_popularity_100_190_7_0.999999999_17365423076059477_7;190;1279;1;0.4563450012889156;0.2704561507862746;0.2673;0.6363636363636364;0.4279874719467748;0.2928309902287055;0.058628161272992585
rand_random_top10_popularity_100_190_7_0.999999999_17365423076201444_8;190;1277;1;0.4316735777589057;0.2560907569276548;0.2602;0.6136363636363636;0.4317390636653084;0.27313358887558653;0.05861273789759884
rand_random_top10_popularity_100_190_7_0.999999999_1736542307635444_9;190;1280;1;0.49434353269954256;0.28460951966016773;0.2821;0.6057692307692307;0.42846863008155966;0.25114140612882146;0.05909176903242356
rand_random_top10_popularity_100_190_7_0.999999999_17365423076497197_10;190;1279;1;0.4840878615976438;0.30409810617820554;0.3073;0.6406779661016949;0.41805894504301044;0.32779586459328436;0.05843231936492898
rand_random_top10_popularity_100_190_7_0.999999999_17365423076630309_11;190;1281;1;0.45616768933781837;0.26471554209393133;0.2625;0.63;0.43417558987951266;0.2873374319675777;0.05875614956466682
rand_random_top10_popularity_100_190_7_0.999999999_17365423076768448_12;190;1275;1;0.4849876968309955;0.2608070151400973;0.2655;0.6823104693140795;0.4434227745251939;0.3408383230615314;0.05895630967812261
rand_random_top10_popularity_100_190_7_0.999999999_17365423076910822_13;190;1277;1;0.49577377109594;0.29454545454545455;0.298;0.627906976744186;0.420313618759348;0.3082609022237251;0.058390255046642615
rand_random_top10_popularity_100_190_7_0.999999999_173654230770449_14;190;1280;1;0.47068616467419117;0.2899751766278404;0.2951;0.6116504854368932;0.4214392887874193;0.28262568811295374;0.05859038390180017
rand_random_top10_popularity_100_190_7_0.999999999_17365423077181654_15;190;1276;1;0.49128479834150385;0.2884829583426153;0.2858;0.6342281879194631;0.4265451612514197;0.306711872944333;0.05815390416557095
rand_random_top10_popularity_100_190_7_0.999999999_1736542307731551_16;190;1279;1;0.4730291884018837;0.27957915231391345;0.2794;0.63;0.42929706432612424;0.3046806761885113;0.059594355766078196
rand_random_top10_popularity_100_190_7_0.999999999_17365423077454937_17;190;1280;1;0.4644130633046525;0.28387796190181197;0.2861;0.6217105263157895;0.4155643130438283;0.26891166602731836;0.05839499594084716
rand_random_top10_popularity_100_190_7_0.999999999_1736542307759933_18;190;1276;1;0.45347004389185663;0.2778228141285466;0.2817;0.6077170418006431;0.42584475592783005;0.29850859389218976;0.05886674011001271
rand_random_top10_popularity_100_190_7_0.999999999_17365423077753298_19;190;1276;1;0.4939518557345024;0.2968834166987303;0.3027;0.6217105263157895;0.4210554092019305;0.2971006265569487;0.058326091099562945
rand_random_top10_popularity_100_190_7_0.999999999_17365423077888718_20;190;1280;1;0.48774950275207507;0.28659441805225655;0.2867;0.6428571428571429;0.4261486006722309;0.3222260328209156;0.0591090161034023
rand_random_top10_popularity_100_190_7_0.999999999_17365423078030267_21;190;1279;1;0.4187005121656105;0.2588791512915129;0.2587;0.6156351791530945;0.4272261115077038;0.28457066302728307;0.05976887723455312
rand_random_top10_popularity_100_190_7_0.999999999_1736542307818183_22;190;1280;1;0.45257854991873536;0.2733371233655486;0.2726;0.6321070234113713;0.428655637386251;0.2915457831154795;0.058492924664396
rand_random_top10_popularity_100_190_7_0.999999999_1736542307833108_23;190;1275;1;0.4392499343113904;0.26236463101484875;0.265;0.6517241379310345;0.4331236629258283;0.31668206219414025;0.059215328657828914
rand_random_top10_popularity_100_190_7_0.999999999_17365423078477273_24;190;1277;1;0.4767497738003718;0.2734581456805747;0.2683;0.6156351791530945;0.4305084972801239;0.28067352166782245;0.058902593323727916
rand_random_top10_popularity_100_190_7_0.999999999_17365423078617778_25;190;1277;1;0.4833137061234142;0.2675837104072398;0.2696;0.6823104693140795;0.4423822402512044;0.34834875941552795;0.059316608469994446
rand_random_top10_popularity_100_190_7_0.999999999_17365423078763905_26;190;1278;1;0.46618447036088423;0.27845903819162293;0.2808;0.6217105263157895;0.42508427093042;0.2889548566783274;0.05882768592796385
rand_random_top10_popularity_100_190_7_0.999999999_17365423078908067_27;190;1280;1;0.451918845693557;0.2810613825304635;0.2733;0.6176470588235294;0.4268944823064899;0.2796797861035524;0.05843779018429076
rand_random_top10_popularity_100_190_7_0.999999999_17365423079051454_28;190;1278;1;0.5160953761439572;0.3254059633938143;0.3207;0.6176470588235294;0.4116780408038926;0.3025208250210673;0.058948809381372924
rand_random_top10_popularity_100_190_7_0.999999999_1736542307917865_29;190;1277;1;0.450839869344426;0.2747185883784606;0.2729;0.6494845360824743;0.42728518623310113;0.329123868688497;0.0587429541085185
rand_random_top10_popularity_100_190_7_0.999999999_17365423079326947_30;190;1278;1;0.43449201437066115;0.2606787924245265;0.2617;0.6116504854368932;0.42585143298010486;0.2710554195494056;0.058768020522449456
rand_random_top10_popularity_100_190_7_0.999999999_17365423079481313_31;190;1278;1;0.4663704490172844;0.2854756028099487;0.2812;0.6428571428571429;0.4187002884571424;0.322067162425392;0.059194817391546015
rand_random_top10_popularity_100_190_7_0.999999999_17365423079624543_32;190;1278;1;0.4200561894103498;0.24320420709577067;0.2396;0.6077170418006431;0.4401761872384361;0.2636930922759481;0.059604516179335654
rand_random_top10_popularity_100_190_7_0.999999999_17365423079789758_33;190;1278;1;0.44454064201548127;0.27480565235706356;0.2805;0.6096774193548387;0.41747839917722285;0.27638955176654084;0.05942089828043174
rand_random_top10_popularity_100_190_7_0.999999999_17365423079940393_34;190;1279;1;0.4895858807879028;0.2774421313146018;0.2813;0.6321070234113713;0.43364203283870717;0.2999608800922975;0.059204679535718105
rand_random_top10_popularity_100_190_7_0.999999999_1736542308007378_35;190;1279;1;0.46400840377204344;0.2787096774193548;0.2808;0.6342281879194631;0.4250885695784576;0.30101249073448294;0.05826904857334422
rand_random_top10_popularity_100_190_7_0.999999999_17365423080216572_36;190;1276;1;0.45912695956330796;0.2868030326962565;0.2935;0.6176470588235294;0.41680178315159383;0.29016134083870654;0.05887925094285829
rand_random_top10_popularity_100_190_7_0.999999999_17365423080358684_37;190;1280;1;0.42971183166541177;0.2591048622427711;0.2566;0.6258278145695364;0.42818166137370783;0.3010160917720764;0.05939325084675346
rand_random_top10_popularity_100_190_7_0.999999999_17365423080524628_38;190;1279;1;0.45647055852302265;0.27990258703289683;0.2757;0.5943396226415094;0.415529499849092;0.27033753253777965;0.059706804932433154
rand_random_top10_popularity_100_190_7_0.999999999_17365423080669942_39;190;1279;1;0.4515724612424432;0.28171526054590573;0.2899;0.6156351791530945;0.4193307719437474;0.29263063273270956;0.05853222706218165
rand_random_top10_popularity_100_190_7_0.999999999_17365423080818243_40;190;1276;1;0.4824644901184028;0.26676617976330097;0.2658;0.6774193548387096;0.439983440051131;0.336955507340658;0.05858637762394439
rand_random_top10_popularity_100_190_7_0.999999999_17365423080960126_41;190;1279;1;0.4488015951355138;0.27333381945457197;0.2757;0.6342281879194631;0.42665484778826596;0.2943863426352527;0.058477123305760534
