graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_house_100_3249_3_0.6_17366059676250765_0;3249;9735;1;0.3310792524219056;0.0700337544919649;0.0753;0.3872660069154644;0.25397628043309434;0.3367267541045682;0.009768305302178676
rand_random_house_100_3249_3_0.6_17366059677011683_1;3249;9736;1;0.3403062421080439;0.069045205544205;0.0655;0.4186106457017657;0.2551392605612402;0.5854332512143062;0.007874917919491142
rand_random_house_100_3249_3_0.6_17366059677852006_2;3249;9736;1;0.3265390163721404;0.05664516811165151;0.0582;0.4205075090626618;0.2608971569025973;0.501250291108278;0.008548974651996711
rand_random_house_100_3249_3_0.6_1736605967875896_3;3249;9735;1;0.33913785698960347;0.0681748246009929;0.0713;0.40118577075098816;0.25614325638225743;0.4264323618403366;0.009079275286310837
rand_random_house_100_3249_3_0.6_17366059679566233_4;3249;9732;1;0.3344015486105934;0.06127172495055338;0.0606;0.43306666666666666;0.25964406677465823;0.4294069125183636;0.008665260553976782
rand_random_house_100_3249_3_0.6_17366059680377567_5;3249;9734;1;0.32667351467879857;0.06569887886912015;0.0695;0.41866460427945346;0.2556840304218329;0.6052914314006215;0.0076115909747561895
rand_random_house_100_3249_3_0.6_17366059681196175_6;3249;9734;1;0.33602928696488243;0.06774491208284206;0.0657;0.4057464084946908;0.25586955016745144;0.3826477517745995;0.008976035201678036
rand_random_house_100_3249_3_0.6_17366059681991713_7;3249;9735;1;0.3289234993529133;0.07589098532494759;0.0793;0.38153412428051214;0.2503286726672742;0.45671614741067446;0.00898119968113849
rand_random_house_100_3249_3_0.6_17366059682832162_8;3249;9734;1;0.3347053951649805;0.06465301065011948;0.0617;0.4260230849947534;0.25799868609670673;0.5523232557712926;0.008276293972015509
rand_random_house_100_3249_3_0.6_1736605968420414_9;3249;9734;1;0.3265756596697447;0.07402671131933732;0.0761;0.38068448195030474;0.2514810294830771;0.3828029611140018;0.009289012692555757
rand_random_house_100_3249_3_0.6_17366059685020096_10;3249;9736;1;0.3316310187035158;0.0609759539399413;0.0594;0.4087076884358878;0.2593686061480634;0.4225161181920922;0.008971434600313643
rand_random_house_100_3249_3_0.6_173660596858521_11;3249;9735;1;0.33607754750463603;0.061602248770203795;0.0592;0.4153452685421995;0.2593776009708147;0.4899009384998878;0.008613184019026615
rand_random_house_100_3249_3_0.6_17366059686711748_12;3249;9736;1;0.3312471079269164;0.06961155036094878;0.068;0.41598360655737704;0.2518815731332507;0.6238490848006866;0.007169752836602345
