graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_pop_100_18147_3_0.11_17366059676250765_0;18147;54429;1;0.05655449649906715;0.012463040121427524;0.0127;0.37364703328381416;0.0028694041270357997
rand_random_pop_100_18147_3_0.11_17366059678982108_1;18147;54431;1;0.05914472400168458;0.012983625702537652;0.0139;0.5272871352110531;0.0025492244065869044
rand_random_pop_100_18147_3_0.11_1736605968227515_2;18147;54427;1;0.0595096810626115;0.011894096392176538;0.011;0.3860600676937545;0.002811653862624378
rand_random_pop_100_18147_3_0.11_17366059685165176_3;18147;54430;1;0.05997021330917102;0.01250629671481668;0.0121;0.5519165891544074;0.002427037719528962
rand_random_pop_100_18147_3_0.11_17366059688798141_4;18147;54431;1;0.06087969458842818;0.013008543008942481;0.0132;0.37624458203557254;0.0029237331828044525
rand_random_pop_100_18147_3_0.11_17366059691573904_5;18147;54431;1;0.06116582782191856;0.012731785715260225;0.0134;0.46876656610358614;0.002669492880086849
rand_random_pop_100_18147_3_0.11_17366059695570164_6;18147;54430;1;0.058460254156637435;0.013123973336335738;0.014;0.4786833269032804;0.0026492851452376326
rand_random_pop_100_18147_3_0.11_1736605969823031_7;18147;54432;1;0.05878509868359702;0.013549446089921804;0.0127;0.4797242199879919;0.0027884658853757575
rand_random_pop_100_18147_3_0.11_17366059700894248_8;18147;54429;1;0.05916823441631054;0.01266407650483711;0.012;0.4418648662542539;0.0027919974274621547
rand_random_pop_100_18147_3_0.11_17366059705262733_9;18147;54429;1;0.05793028322507927;0.012855123511146128;0.0146;0.4777684008458765;0.0024428805105096638
rand_random_pop_100_18147_3_0.11_17366059708014631_10;18147;54429;1;0.06081823566912789;0.013373901547554242;0.0136;0.4029163463419489;0.0027264834864098165
rand_random_pop_100_18147_3_0.11_17366059710907824_11;18147;54432;1;0.05823624557464655;0.013888903370978657;0.012;0.3787173892801584;0.002796756756967625
rand_random_pop_100_18147_3_0.11_17366059713557591_12;18147;54430;1;0.06046422904342473;0.012960386204370218;0.0123;0.3350759686284563;0.003014278129244517
rand_random_pop_100_18147_3_0.11_17366059718489182_13;18147;54431;1;0.05776502209628902;0.01367310545508273;0.0127;0.4965579782939368;0.002499816249669369
rand_random_pop_100_18147_3_0.11_17366059721134474_14;18147;54425;1;0.05818079001402157;0.013034056051675583;0.0134;0.5643932170826557;0.0025138869270502494
rand_random_pop_100_18147_3_0.11_17366059723897636_15;18147;54429;1;0.06078344383592094;0.013081558558221356;0.0137;0.550923171136728;0.0024609404482067855
rand_random_pop_100_18147_3_0.11_17366059726666043_16;18147;54431;1;0.058884265302491134;0.012165114593811177;0.0121;0.6101996688563432;0.002340313961538273
rand_random_pop_100_18147_3_0.11_17366059729445488_17;18147;54431;1;0.05944693153986136;0.01367510194230895;0.0122;0.35253246267406574;0.0029795447508061635
rand_random_pop_100_18147_3_0.11_17366059734817278_18;18147;54428;1;0.058819078711239314;0.013232228191273386;0.0137;0.40953230616734876;0.002673488500412015
rand_random_pop_100_18147_3_0.11_17366059737475088_19;18147;54432;1;0.05921740149045839;0.012808515615861504;0.014;0.6319801616830769;0.002160385442842578
