graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_real_100_156422_2_0.85_17366059676267831_0;156422;312840;1;0.6305555678740412;0.03695709231749547;0.039;0.6956190575830378;0.0002666561037206267
rand_random_real_100_156422_2_0.85_17366059724226289_1;156422;312840;1;0.6328416335975818;0.02177356834163215;0.0215;0.702388031254618;0.00032318840028874396
rand_random_real_100_156422_2_0.85_17366059788484151_2;156422;312840;1;0.6320067674831128;0.034332919036060894;0.0346;0.6997889068176112;0.00026538242459718525
rand_random_real_100_156422_2_0.85_17366059841407766_3;156422;312840;1;0.6292736001113259;0.032352596042090585;0.0291;0.6988981679720896;0.000289827567894064
rand_random_real_100_156422_2_0.85_17366059893593354_4;156422;312840;1;0.6329139031515838;0.029731748916438767;0.0314;0.7009093017980706;0.0002823885443111144
rand_random_real_100_156422_2_0.85_1736605995000295_5;156422;312840;1;0.6329715028372691;0.034625450699352404;0.0376;0.692039313879952;0.0002751124815619313
rand_random_real_100_156422_2_0.85_17366059996045628_6;156422;312840;1;0.6308801439949376;0.025466491559332515;0.0253;0.7018826381845916;0.0003230707857922333
rand_random_real_100_156422_2_0.85_17366060056828706_7;156422;312840;1;0.633239405010518;0.017858562786535134;0.0194;0.7028803515021924;0.00035864029164323617
rand_random_real_100_156422_2_0.85_17366060134821436_8;156422;312840;1;0.632875127225261;0.03210545191238418;0.0331;0.7009395303893249;0.00028664224310097044
rand_random_real_100_156422_2_0.85_1736606018187028_9;156422;312840;1;0.631214563946855;0.03548698540099298;0.0361;0.6967925894126422;0.00025234914415489106
rand_random_real_100_156422_2_0.85_17366060237961593_10;156422;312840;1;0.6324374416695876;0.02952440633201455;0.0321;0.7001590607888946;0.00028025908364382146
rand_random_real_100_156422_2_0.85_17366060287145529_11;156422;312840;1;0.632317489775913;0.03922748790169035;0.0378;0.6915110144703362;0.0002668220808367009
rand_random_real_100_156422_2_0.85_17366060329597719_12;156422;312840;1;0.6319394568602936;0.03621967030931654;0.0377;0.6949913689025298;0.0002716033547735084
rand_random_real_100_156422_2_0.85_17366060389701025_13;156422;312840;1;0.6326942571045496;0.024769752420812006;0.0264;0.7000473490215949;0.00031817507331022727
