graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_trap_100_4027_3_0.9999_17366060270318367_0;4027;12072;1;0.5936040736559308;0.1060707881146065;0.1069;0.3537163943068002;0.21051783783658284;0.6251589034047222;0.005630757477657482
rand_random_trap_100_4027_3_0.9999_1736606027191134_1;4027;12071;1;0.5851629196838399;0.09680334349937875;0.0979;0.37587526841564745;0.22344224931526668;0.6479900559634847;0.005609178847694795
rand_random_trap_100_4027_3_0.9999_1736606027361109_2;4027;12072;1;0.5848355372657613;0.1139842389183666;0.1108;0.3430470347648262;0.20561535281484125;0.5994778822567666;0.005890406611887315
rand_random_trap_100_4027_3_0.9999_17366060275133784_3;4027;12071;1;0.5892461929655354;0.0801532523875257;0.0806;0.4065434716752499;0.2273141708692285;0.6599997697727066;0.0059851685830116476
rand_random_trap_100_4027_3_0.9999_1736606027710307_4;4027;12071;1;0.5876527191391933;0.09162480414802371;0.0931;0.3824451410658307;0.2216919438971197;0.6506173101414567;0.005674232620939896
rand_random_trap_100_4027_3_0.9999_17366060278903716_5;4027;12072;1;0.5829355058945077;0.08817416379035932;0.09;0.3630952380952381;0.21261801074715397;0.6513485738879096;0.005656984083271643
rand_random_trap_100_4027_3_0.9999_17366060280727983_6;4027;12072;1;0.5856038787788644;0.11117896669516601;0.1156;0.36649977241693216;0.21011940955828634;0.6173282205887758;0.005931674706093894
rand_random_trap_100_4027_3_0.9999_173660602828743_7;4027;12072;1;0.5924096444242963;0.11245419802214254;0.112;0.37489524164261107;0.2155709771238308;0.5591435561121805;0.006409114932480593
rand_random_trap_100_4027_3_0.9999_17366060284376428_8;4027;12072;1;0.5893912662895343;0.09538584726253628;0.0958;0.3614003590664273;0.21101616719834987;0.6579951107923414;0.005057722728070453
rand_random_trap_100_4027_3_0.9999_1736606028610043_9;4027;12071;1;0.5844999995063332;0.08604136568951959;0.0875;0.39625984251968505;0.22377862914313285;0.6466343264750963;0.0059324114523853395
