node;clustering_coeffs;name_metrics;name_dataset;followers;popularity;genres;chart_hits
000TJhsWOqbyNbTqCU26cW;1.0;KlikKlak;KlikKlak;753.0;51.0;[];
002HSjuWsGMinkXTa7JcRp;1.0;Turbo;Turbo;9824.0;30.0;[];
00BqPeLaOvP4Hjpwi5I1y3;1.0;P Smurf;P Smurf;7.0;0.0;[];
00HZT1xYsrl7rmaG92mx1D;1.0;XoliSoulMF;XoliSoulMF;48.0;8.0;[];
00JumPfBUZm33fTNYLJLCd;1.0;Jimi Hyde;Jimi Hyde;61.0;18.0;[];
00K1m3K00tyXGmU88VvKnj;1.0;Bob;Bob;17.0;17.0;[];
00T9m8kYp8lEDNAvYHbXfs;1.0;feat Sasa;feat Sasa;0.0;0.0;[];
00TGpdWW8QznHxm6cmIqtK;1.0;DJ Gabriel Souza;DJ Gabriel Souza;142.0;4.0;['rave funk'];
00VnRQuhdfjkeaXeDu5dlW;1.0;Anuel;Anuel;20014.0;44.0;[];
00YVNzJIIcsPTxP76UDzAD;1.0;Torvylone;Torvylone;25.0;34.0;[];
00b3RKsk2pv5VWSnYAKW8u;1.0;Man Without Country;Man Without Country;12328.0;33.0;['chillwave', 'metropopolis'];
00cBuzAI2Q4HirerswLYUT;1.0;Ry SO Valid;Ry SO Valid;72.0;18.0;[];
00i6h5kt5d5PPsBwEKLmGf;1.0;DJ G14;DJ G14;0.0;0.0;[];
00roV7dDi7Y8kJHvcNPOcs;1.0;Abu Lila;Abu Lila;98.0;3.0;[];
011KRXCsnsSuCGsY0Enq5r;1.0;Adam Tas;Adam Tas;31881.0;35.0;['afrikaans'];
014QuYvSWcdqx4lhe17MX6;1.0;Showbiz School;Showbiz School;18454.0;42.0;['russian hip hop'];['ua (1)']
0194TNbiIfHGq29eOkSWsh;1.0;Fer;Fer;296.0;5.0;[];
01FTzx4XnS1JHNp5rPlkMk;1.0;Yugendran;Yugendran;181.0;40.0;['kollywood'];
01LAw9Av7Zcg01A8McfGYB;1.0;Tang Siu Hau;Tang Siu Hau;6968.0;30.0;['cantopop'];['hk (3)']
01O6JMBezb5PN1Y1P5RTM6;1.0;Happy Cat Jay;Happy Cat Jay;216.0;16.0;[];
01TdF2ZEvA91OvXXuJfQfQ;1.0;Joe Layne;Joe Layne;4688.0;37.0;[];
01YQk7JAW4MVew2785UcG8;1.0;Gencay Kaya;Gencay Kaya;216.0;20.0;[];
01YU5QzSG8NV5fd2wXK20K;1.0;Andyto;Andyto;58.0;13.0;[];
01cSS9Li4G0S7dH0h7Khfu;1.0;Dj Dadda;Dj Dadda;10272.0;32.0;[];['pt (1)']
01f9DKokJH3D0LLhC3Gnc6;1.0;Nejo;Nejo;123.0;13.0;[];
01jp1wvPHhAGnoXXVQ9xQV;1.0;Doist;Doist;2429.0;23.0;['trap carioca'];
01lVP0L85U9jYVREPOB8RG;1.0;Kilimoney;Kilimoney;11300.0;49.0;['trap italiana'];
01q3f6hsp2mL4jqGEWerCM;1.0;earwulf;earwulf;156.0;16.0;[];
01vnMDNdXQnMmysjes9RF9;1.0;No Stress;No Stress;1824.0;9.0;[];
01zzWWnIEggKLQJCKbnDIK;1.0;Los Flaytes Magicos;Los Flaytes Magicos;1409.0;36.0;[];
026ui3KrdrBI5xNc9FJmNS;1.0;Vunshi Sapporo;Vunshi Sapporo;0.0;1.0;[];
02CpmHJhuAVY5YybphI3Wn;1.0;Banaba Des;Banaba Des;108.0;45.0;[];
02ESSPEzwYHnLH7SjiG8oj;1.0;Dj Felipe Rosa;Dj Felipe Rosa;106.0;42.0;[];
02OOc2ZYid4CK1DJF5RXrI;1.0;Colano;Colano;50.0;26.0;[];
02Oz36AJw4SZlKq1baVvMw;1.0;Karne Palta;Karne Palta;786.0;15.0;[];
02SrXSfRB3l8MraZCbVdR5;1.0;Kevin Lloyd;Kevin Lloyd;5.0;15.0;[];
02V4gPDU79QUIClBYx30n7;1.0;DJ Nelson;DJ Nelson;2.0;2.0;[];
02V898l27L8OwXlwOA1BvU;1.0;Daria Musk;Daria Musk;197.0;16.0;[];
