,betweenness,betweenness,betweenness,betweenness,betweenness,degree,degree,degree,degree,degree,closeness,closeness,closeness,closeness,closeness,pagerank,pagerank,pagerank,pagerank,pagerank,eigenvector,eigenvector,eigenvector,eigenvector,eigenvector,clustering_coeffs,clustering_coeffs,clustering_coeffs,clustering_coeffs,clustering_coeffs
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median
sub_genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,0.00021738031772916832,0.0021631001065023246,0.0,0.0963631325590082,0.0,0.00038382353621229244,0.0025948961213474258,0.0,0.1423326743857667,0.0002824060999717,0.02951226969998511,0.03687459288851177,0.0,0.1169803680217405,0.0011766920832156,0.0002823263692828625,0.0017234509410884464,6.694485975091064e-05,0.096964097622928,0.0001989512544687,0.004837404653196324,0.016093446111806867,6.771456479300177e-142,0.7032942694684313,3.0797905647234767e-84,0.029505294347926283,0.14739561773460702,0.0,1.0,0.0
classical,0.00044332984107781916,0.008358886077606315,0.0,0.2803325332875273,0.0,0.0009770919222864963,0.011704051891498956,0.0,0.397934868943606,0.0007942811755361,0.11393933050285443,0.1047147776436854,0.0,0.3692578520044672,0.1527463799107961,0.000793650793650726,0.007923347005881237,0.0001858851229939,0.2711450908393367,0.0006131364184008,0.01347820379076999,0.024748230389699234,8.099754251780957e-157,0.7037884535852554,0.0017308092296917,0.0013354997068175751,0.031130679985921988,0.0,1.0,0.0
country,0.001581676161695411,0.005266447763470757,0.0,0.0504761559688889,0.0,0.0031458429931875372,0.006071030063363775,0.0,0.051039697542533,0.0018903591682419,0.06165392225640305,0.06233839418652644,0.0,0.179443162110255,0.07854319532747125,0.0018867924528301197,0.002715698163847927,0.0004518752824235,0.026203545921342,0.0011560114436715,0.018172041654553554,0.039490654971606434,1.8850467271849884e-22,0.3276232320549624,0.00017853013298415,0.03274249834605478,0.14407718416835963,0.0,1.0,0.0
dance,0.0008908880354338703,0.0029980958178390596,0.0,0.0400256085461293,6.834353587349346e-06,0.0033552579021648957,0.005731832423705613,0.0,0.0620190131281122,0.0009053870529651,0.14681095510349887,0.08519381721394659,0.0,0.2796247366244327,0.1806917336089171,0.0004524886877827652,0.0005529793205967583,8.215576738392813e-05,0.0054191517407374,0.00024625264669855,0.009172594612826353,0.019196847306421995,2.3102775459241992e-23,0.2165669421991133,0.00090914991345805,0.10988850880551558,0.2041844008393726,0.0,1.0,0.0
dubstep,0.002409628999886869,0.010775976560159141,0.0,0.1229531508821894,0.0,0.00538868538868536,0.015490007384009062,0.0,0.1742857142857143,0.0028571428571428,0.09949571556690918,0.0872368158010372,0.0,0.2505106382978723,0.1388443396226415,0.0028490028490028084,0.006513486337746886,0.0006465517241379,0.0760723286417992,0.0016928661747073,0.02567277614195059,0.04686329378013141,5.42393573071023e-28,0.4352520048399703,0.0018214289222203,0.08595024107821846,0.2496473989943578,0.0,1.0,0.0
edm,0.0010289234481664579,0.0033590975406407133,0.0,0.0513268805904299,1.21181987085065e-05,0.00504648221081875,0.009123613151779333,0.0,0.0862453531598513,0.0014869888475836,0.16382167435994047,0.1005186127648544,0.0,0.32913199976397,0.20669292655030008,0.0007429420505200051,0.0010368202499874142,0.0001408913727898,0.0095546659864961,0.0003793036847288,0.012699939933226143,0.02412645917665912,1.2015056733734246e-19,0.2295923464206218,0.00314213566360735,0.1272417490616501,0.22368654458386728,0.0,1.0,0.0
folk,9.615897846481175e-06,6.597291357745027e-05,0.0,0.0011916713797449,0.0,0.00047654123298637697,0.0011638315443907596,0.0,0.0168134507606084,0.0,0.0017146795157420495,0.00394228505013573,0.0,0.023213837342063,0.0,0.0007999999999999277,0.001121196657350181,0.0002789661986624,0.017111933387679,0.0002789661986624,0.004168809878165326,0.027986561458985083,5.264940676202754e-33,0.4205122316122749,5.264940676202754e-33,0.018175901875901873,0.12076217911104388,0.0,1.0,0.0
house,0.00042693761780084185,0.0017553444220255205,0.0,0.0381969252088587,0.0,0.00155163316640055,0.0035171609820745906,0.0,0.0520320197044334,0.000307881773399,0.13118997331678645,0.08833927325076431,0.0,0.2787294498189803,0.1727018889011468,0.0003077870113880865,0.0005513532442580651,6.14804527122207e-05,0.0098503785164828,0.0001341733860198,0.006792327236948179,0.016178129056267046,2.1862041840576077e-24,0.2301849026601715,0.0009972308026484,0.08603223423005209,0.20336857669342784,0.0,1.0,0.0
